,O'NEILL,DANIEL,CARTER,HAMMOND,TEAL'C,JONAS,MITCHELL,LANDRY,BRA'TAC,Season,Episode
100,380.0,618.0,1485.0,550.0,14.0,0.0,0.0,0.0,0.0,5.0,14.0
101,291.0,386.0,296.0,16.0,122.0,0.0,0.0,0.0,0.0,5.0,15.0
102,179.0,726.0,353.0,0.0,157.0,0.0,0.0,0.0,0.0,5.0,16.0
103,610.0,416.0,1366.0,380.0,235.0,0.0,0.0,0.0,0.0,5.0,17.0
104,789.0,312.0,237.0,81.0,423.0,0.0,0.0,0.0,341.0,5.0,18.0
105,521.0,1248.0,1074.0,254.0,90.0,0.0,0.0,0.0,0.0,5.0,19.0
106,815.0,300.0,500.0,341.0,167.0,0.0,0.0,0.0,0.0,5.0,20.0
107,596.0,931.0,633.0,349.0,110.0,659.0,0.0,0.0,0.0,5.0,21.0
108,465.0,0.0,991.0,145.0,261.0,0.0,0.0,0.0,0.0,5.0,22.0
109,479.0,0.0,1201.0,493.0,359.0,503.0,0.0,0.0,344.0,6.0,1.0
110,508.0,0.0,1632.0,385.0,329.0,222.0,0.0,0.0,139.0,6.0,2.0
111,659.0,0.0,936.0,167.0,339.0,355.0,0.0,0.0,0.0,6.0,3.0
112,174.0,0.0,774.0,87.0,72.0,617.0,0.0,0.0,0.0,6.0,4.0
113,0.0,0.0,1225.0,84.0,293.0,708.0,0.0,0.0,0.0,6.0,5.0
114,931.0,1104.0,426.0,275.0,219.0,259.0,0.0,0.0,0.0,6.0,6.0
115,342.0,0.0,518.0,332.0,210.0,1009.0,0.0,0.0,0.0,6.0,7.0
116,569.0,0.0,209.0,206.0,84.0,33.0,0.0,0.0,0.0,6.0,8.0
117,920.0,0.0,465.0,14.0,297.0,17.0,0.0,0.0,242.0,6.0,9.0
118,381.0,0.0,545.0,0.0,346.0,596.0,0.0,0.0,0.0,6.0,10.0
119,169.0,0.0,536.0,166.0,73.0,253.0,0.0,0.0,0.0,6.0,11.0
120,899.0,7.0,996.0,60.0,99.0,406.0,0.0,0.0,0.0,6.0,12.0
121,460.0,0.0,1397.0,597.0,108.0,942.0,0.0,0.0,0.0,6.0,13.0
122,147.0,0.0,991.0,495.0,241.0,617.0,0.0,0.0,0.0,6.0,14.0
123,857.0,0.0,457.0,146.0,70.0,123.0,0.0,0.0,0.0,6.0,15.0
124,789.0,0.0,385.0,103.0,149.0,399.0,0.0,0.0,0.0,6.0,16.0
125,229.0,5.0,102.0,706.0,32.0,0.0,0.0,0.0,0.0,6.0,17.0
126,481.0,0.0,711.0,106.0,131.0,505.0,0.0,0.0,0.0,6.0,18.0
127,350.0,400.0,408.0,114.0,197.0,82.0,0.0,0.0,0.0,6.0,19.0
128,631.0,0.0,670.0,48.0,208.0,619.0,0.0,0.0,0.0,6.0,20.0
129,390.0,30.0,678.0,336.0,170.0,827.0,0.0,0.0,0.0,6.0,21.0
130,738.0,943.0,267.0,74.0,160.0,267.0,0.0,0.0,0.0,6.0,22.0
131,609.0,718.0,901.0,105.0,134.0,817.0,0.0,0.0,0.0,7.0,1.0
132,398.0,503.0,606.0,140.0,313.0,367.0,0.0,0.0,0.0,7.0,2.0
